ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-05-19,3476.363846601534,3254.537161726363,3510.1663021908157,3476.363846601534,3476.363846601534,-94.24151956668108,-94.24151956668108,-94.24151956668108,-10.07508824180506,-10.07508824180506,-10.07508824180506,-84.16643132487602,-84.16643132487602,-84.16643132487602,0.0,0.0,0.0,3382.122327034853
2022-05-20,3474.25815733018,3256.163177166261,3498.00614505848,3474.25815733018,3474.25815733018,-97.98370443756832,-97.98370443756832,-97.98370443756832,-11.600021620760312,-11.600021620760312,-11.600021620760312,-86.383682816808,-86.383682816808,-86.383682816808,0.0,0.0,0.0,3376.274452892612
2022-05-23,3467.9410895161186,3241.2904216868255,3494.1355568824674,3467.9410895161186,3467.9410895161186,-103.8298552186886,-103.8298552186886,-103.8298552186886,-11.318739975373077,-11.318739975373077,-11.318739975373077,-92.51111524331553,-92.51111524331553,-92.51111524331553,0.0,0.0,0.0,3364.11123429743
2022-05-24,3465.835400244765,3235.639780214913,3496.000337170125,3465.835400244765,3465.835400244765,-104.12704917019774,-104.12704917019774,-104.12704917019774,-9.813608091917327,-9.813608091917327,-9.813608091917327,-94.3134410782804,-94.3134410782804,-94.3134410782804,0.0,0.0,0.0,3361.7083510745674
2022-05-25,3463.7297109734113,3227.505281161626,3495.623067322083,3463.7297109734113,3463.7297109734113,-104.39878150015917,-104.39878150015917,-104.39878150015917,-8.435019098233553,-8.435019098233553,-8.435019098233553,-95.9637624019256,-95.9637624019256,-95.9637624019256,0.0,0.0,0.0,3359.330929473252
2022-05-26,3461.6240217020572,3227.898487163107,3482.681636716592,3461.6240217020572,3461.6240217020572,-107.51945922315097,-107.51945922315097,-107.51945922315097,-10.075088241839278,-10.075088241839278,-10.075088241839278,-97.44437098131169,-97.44437098131169,-97.44437098131169,0.0,0.0,0.0,3354.1045624789062
2022-05-27,3459.518332430704,3223.5471983652847,3478.6585408621604,3459.518332430704,3459.518332430704,-110.33920340559591,-110.33920340559591,-110.33920340559591,-11.600021620733624,-11.600021620733624,-11.600021620733624,-98.7391817848623,-98.7391817848623,-98.7391817848623,0.0,0.0,0.0,3349.179129025108
2022-05-30,3453.201264616642,3214.704537692706,3472.1022975198343,3453.201264616642,3453.201264616642,-112.70016207172364,-112.70016207172364,-112.70016207172364,-11.31873997539708,-11.31873997539708,-11.31873997539708,-101.38142209632656,-101.38142209632656,-101.38142209632656,0.0,0.0,0.0,3340.5011025449185
2022-05-31,3451.0955753452886,3202.903410110294,3463.7494925513706,3451.0955753452886,3451.0955753452886,-111.63305239783053,-111.63305239783053,-111.63305239783053,-9.813608091949558,-9.813608091949558,-9.813608091949558,-101.81944430588096,-101.81944430588096,-101.81944430588096,0.0,0.0,0.0,3339.462522947458
2022-06-01,3448.9898860739345,3206.9531339529594,3466.9954902741015,3448.9898860739345,3448.9898860739345,-110.46477913122641,-110.46477913122641,-110.46477913122641,-8.435019098211667,-8.435019098211667,-8.435019098211667,-102.02976003301475,-102.02976003301475,-102.02976003301475,0.0,0.0,0.0,3338.525106942708
2022-06-02,3446.884196802581,3199.2920330409174,3464.1660818429636,3446.884196802581,3446.884196802581,-112.08891209934048,-112.08891209934048,-112.08891209934048,-10.075088241794598,-10.075088241794598,-10.075088241794598,-102.01382385754587,-102.01382385754587,-102.01382385754587,0.0,0.0,0.0,3334.79528470324
2022-06-03,3444.778507531227,3205.339921977189,3459.1388373353598,3444.778507531227,3444.778507531227,-113.37679636957492,-113.37679636957492,-113.37679636957492,-11.600021620774495,-11.600021620774495,-11.600021620774495,-101.77677474880043,-101.77677474880043,-101.77677474880043,0.0,0.0,0.0,3331.401711161652
