Date,Open,High,Low,Close,Volume,MA20,MA50,Daily_Return,Volatility
2020-03-23,1620.0,1750.0,1617.75,1669.699951171875,7003490,1923.8724975585938,2073.526005859375,-0.07107291077379452,0.04297388850156745
2020-03-24,1653.050048828125,1770.0,1632.8499755859375,1703.1500244140625,6350865,1903.2624938964843,2063.318005371094,0.020033583410426825,0.04351184226100138
2020-03-25,1700.0,1810.0,1680.0,1750.300048828125,2765520,1882.9700012207031,2054.5170043945313,0.027684011236933426,0.04384720535968166
2020-03-26,1831.5999755859373,1832.050048828125,1722.550048828125,1790.949951171875,4556067,1866.3374938964844,2046.1980053710938,0.023224533628372068,0.04442107954522284
2020-03-27,1820.0,1850.0,1750.4000244140625,1824.5,4331250,1852.2874938964844,2038.1500073242187,0.018733102399747237,0.04480562403099246
2020-03-30,1766.0,1905.0,1763.550048828125,1778.5,8513547,1841.2049926757813,2028.9440063476563,-0.025212386955330235,0.043860473689919084
2020-03-31,1837.4000244140625,1855.0,1780.0,1826.0999755859373,3927593,1832.4449890136718,2021.08400390625,0.026764113346042784,0.044420883463648926
2020-04-01,1825.9000244140625,1834.75,1702.0,1708.75,4941878,1816.072491455078,2011.852001953125,-0.06426262370891467,0.046106880982793086
2020-04-03,1740.0,1740.0,1650.0,1654.199951171875,5735369,1794.622491455078,2001.515,-0.03192394957022682,0.045813251689552914
2020-04-07,1710.0,1785.8499755859375,1705.0,1775.199951171875,5427577,1777.1299865722656,1992.8810009765625,0.07314714277090917,0.049093946362067264
2020-04-08,1760.0,1806.0,1701.0,1705.449951171875,6285615,1756.5799865722656,1983.1710009765625,-0.03929134853454419,0.04958208707075197
2020-04-09,1750.449951171875,1778.800048828125,1731.199951171875,1766.1500244140625,5307397,1746.2699890136719,1974.8260034179686,0.03559182326076371,0.048550936142802155
2020-04-13,1761.0,1787.0,1746.0,1759.25,2990438,1736.5474914550782,1966.6260034179688,-0.003906816702251348,0.0485362742560975
2020-04-15,1785.0,1812.0,1727.800048828125,1735.1500244140625,4761399,1734.8124938964843,1957.65400390625,-0.01369900559098336,0.043787032913534966
2020-04-16,1709.949951171875,1764.9000244140625,1675.050048828125,1716.050048828125,6245533,1730.2999938964845,1948.8830029296876,-0.011007679634149947,0.043571157577914375
2020-04-17,1800.0,1851.949951171875,1753.0,1806.199951171875,9895823,1735.789990234375,1942.25,0.052533375938139226,0.04283587292030289
2020-04-20,1830.0,1830.0,1802.5,1818.6500244140625,3244282,1743.822491455078,1937.0419995117188,0.0068929651083811105,0.04237577001136198
2020-04-21,1765.0,1794.5999755859375,1727.699951171875,1737.6500244140625,5122541,1747.9849914550782,1929.745,-0.04453853073028535,0.04381297682211761
2020-04-22,1737.6500244140625,1790.0,1719.1500244140625,1769.5,3829836,1754.6424926757813,1922.98,0.01832933855404928,0.04379952256276641
2020-04-23,1780.0,1900.0,1760.8499755859375,1878.25,5934366,1758.6824951171875,1917.6139990234376,0.06145803899406621,0.040277026770858405
2020-04-24,1840.699951171875,1851.949951171875,1807.800048828125,1818.550048828125,2987102,1766.125,1911.417998046875,-0.031784880166045526,0.037325459617161987
2020-04-27,1832.300048828125,1875.0,1825.0,1836.5999755859373,3374741,1772.7974975585937,1905.4189965820312,0.00992544954671093,0.037178448009863654
2020-04-28,1865.0,1868.0,1832.5999755859373,1859.050048828125,2678505,1778.2349975585937,1899.3609985351563,0.012223714222268534,0.03682864478267425
2020-04-29,1874.0,1912.550048828125,1850.050048828125,1905.6500244140625,4241510,1783.9700012207031,1894.4060009765626,0.025066552466036285,0.036882411285391145
2020-04-30,1980.0,2032.0,1942.199951171875,2014.449951171875,5915544,1793.4674987792969,1891.28,0.05709334104580166,0.03865721760009244
2020-05-04,1966.0,1966.0,1913.6500244140625,1930.449951171875,3729348,1801.0649963378905,1886.05,-0.04169872771032823,0.039516626278131704
2020-05-05,1955.0999755859373,1977.0,1927.0,1932.75,2905528,1806.3974975585938,1881.0210009765624,0.001191457373307614,0.03918239772565886
2020-05-06,1939.800048828125,1953.699951171875,1893.5999755859373,1903.5999755859373,3517431,1816.1399963378906,1875.0280004882814,-0.015082149483411023,0.0361254716205923
2020-05-07,1910.0,1934.449951171875,1883.3499755859373,1891.6500244140625,3166754,1828.0125,1868.5460009765625,-0.0062775537534857095,0.035149482209988855
2020-05-08,1939.0999755859373,1939.5,1886.25,1893.4000244140625,2686530,1833.9225036621094,1862.4869995117188,0.0009251182710405814,0.03155565701630366
2020-05-11,1909.0,1951.4000244140625,1909.0,1935.300048828125,2449841,1845.4150085449219,1858.0569995117187,0.02212951509125971,0.030107295978468777
2020-05-12,1933.4000244140625,1956.5,1910.25,1949.5,3256595,1854.5825073242188,1854.7399975585938,0.007337338300835272,0.02933665465394833
2020-05-13,1994.0,1994.0,1925.6500244140625,1949.6500244140625,2656665,1864.1025085449219,1850.61,7.69553290906888e-05,0.02928393261403787
2020-05-14,1910.0,1923.0999755859373,1891.0999755859373,1902.3499755859373,2263146,1872.4625061035156,1846.1849975585935,-0.02426078949340693,0.02974108165046839
2020-05-15,1916.0,1917.4000244140625,1865.199951171875,1892.9000244140625,3173682,1881.3050048828125,1841.9329980468747,-0.004967514544196416,0.029600023405488975
2020-05-18,1907.0,1952.949951171875,1872.0999755859373,1945.5999755859373,3727694,1888.2750061035156,1840.8419970703121,0.027840852919946313,0.027999147972681573
2020-05-19,1903.0,1966.449951171875,1903.0,1948.6500244140625,3198693,1894.7750061035156,1839.788996582031,0.001567664918995737,0.02799645084699755
2020-05-20,1950.0,1962.9000244140625,1931.699951171875,1953.5999755859373,2778505,1905.5725036621093,1838.1369970703122,0.002540195063176265,0.0255916962329745
2020-05-21,1946.0,1998.0,1941.1500244140625,1991.199951171875,3400908,1916.6575012207031,1836.2969970703123,0.01924650699008157,0.02561542032746837
2020-05-22,1977.0999755859373,2032.0,1961.25,2020.3499755859373,3663418,1923.7625,1834.2029956054685,0.014639426039010583,0.022216162241734644
2020-05-26,2015.0,2024.0,1925.0,1943.0,4575317,1929.9849975585937,1830.733996582031,-0.03828543396967865,0.0228052542760255
2020-05-27,1959.0,2010.0,1941.25,2005.300048828125,3482160,1938.4200012207032,1831.3929980468747,0.03206384396712547,0.023651957651454312
2020-05-28,1988.5,2014.0,1971.300048828125,2004.300048828125,3475681,1945.6825012207032,1832.4049999999997,-0.000498678489827209,0.023609111555353165
2020-05-29,1982.0,2002.6500244140625,1962.4000244140625,1972.3499755859373,7237735,1949.0174987792968,1836.4549999999997,-0.01594076359019614,0.02346646452511253
2020-06-01,1990.0,2060.0,1981.0999755859373,2045.25,3747773,1950.5575012207032,1841.2339990234373,0.03696099846195189,0.021310771017745984
2020-06-02,2060.199951171875,2081.0,2040.050048828125,2047.1500244140625,2443886,1956.3925048828125,1848.2489990234371,0.0009289937240251067,0.01880214712890903
2020-06-03,2051.85009765625,2063.75,2020.0,2046.1500244140625,3699799,1962.0625061035157,1856.0119995117184,-0.0004884839841116095,0.018814902286627497
2020-06-04,2046.75,2100.0,2046.75,2091.550048828125,4048593,1971.460009765625,1864.7549999999997,0.02218802329856695,0.0187729838874178
2020-06-05,2091.60009765625,2098.0,2040.300048828125,2048.25,3573289,1979.2900085449219,1872.993000488281,-0.020702372793988677,0.019487943156169175
2020-06-08,2078.25,2095.0,2062.10009765625,2071.75,2957841,1988.2075073242188,1878.4790014648433,0.01147320883681191,0.01953831208133192
2020-06-09,2063.10009765625,2095.5,2060.25,2072.050048828125,2909439,1995.0450073242187,1886.5260034179685,0.00014482868498855161,0.01911961173933221
2020-06-10,2077.050048828125,2132.0,2073.5,2108.75,5168397,2003.0075073242188,1894.6380029296872,0.017711903818458108,0.0193656890346995
2020-06-11,2100.0,2105.0,2061.800048828125,2067.64990234375,2269513,2008.9075012207031,1900.9849999999997,-0.01949026563426204,0.020062020458403433
2020-06-12,2011.199951171875,2049.199951171875,2011.0,2039.5,2842642,2015.7650024414063,1905.956000976562,-0.013614443292281342,0.019428120724841354
2020-06-15,2039.0999755859373,2059.0,2000.949951171875,2029.9000244140625,2399022,2022.6150024414062,1910.0640014648434,-0.004707024067633014,0.01942211467197026
2020-06-16,2065.0,2073.949951171875,2031.0,2045.800048828125,2146528,2027.6250061035157,1915.410002441406,0.007832910105339819,0.018610401920402433
2020-06-17,2046.0,2058.85009765625,2026.550048828125,2047.800048828125,2703527,2032.5825073242188,1919.8440039062498,0.0009776126465270707,0.018612723222682905
2020-06-18,2045.0,2059.199951171875,2025.199951171875,2038.0999755859373,1944389,2036.8075073242187,1926.4310034179684,-0.00473682635555106,0.01868594660123858
2020-06-19,2042.0,2090.0,2032.0,2044.5999755859373,5681758,2039.4775085449219,1934.2390039062498,0.003189244923145207,0.018258908322252642
2020-06-22,2050.0,2052.25,2019.1500244140625,2027.949951171875,3196138,2039.8575073242187,1939.2940039062496,-0.008143414170437291,0.01810489908499007
2020-06-23,2027.0,2044.0,2010.0,2035.300048828125,4205944,2044.472509765625,1945.8910058593747,0.0036243979551875416,0.015658752087120427
2020-06-24,2034.0,2064.25,2031.5999755859373,2042.199951171875,2560937,2046.3175048828125,1951.4120043945309,0.003390115549656958,0.014031693159845347
2020-06-25,2035.0,2060.0,2009.25,2016.0999755859373,3043931,2046.9075012207031,1956.5490039062497,-0.012780323283702377,0.014365733997745735
2020-06-26,2025.0,2132.0,2019.949951171875,2118.85009765625,6300722,2054.2325073242187,1964.2230053710934,0.05096479505707574,0.01775311350419476
2020-06-29,2108.0,2127.60009765625,2091.300048828125,2101.64990234375,3076341,2057.0525024414064,1971.935002441406,-0.008117702772615143,0.01609725460791634
2020-06-30,2100.0,2111.89990234375,2075.050048828125,2082.14990234375,3071725,2058.8024963378907,1977.4540014648435,-0.009278424526489304,0.01627653646828207
2020-07-01,2079.699951171875,2113.949951171875,2079.5,2092.050048828125,2503466,2061.0974975585937,1982.9220019531247,0.004754771245447209,0.016293993213051482
2020-07-02,2102.0,2165.0,2098.0,2157.14990234375,3758699,2064.377490234375,1991.3119995117186,0.03111773236595905,0.01700521368606922
2020-07-03,2163.64990234375,2205.0,2160.25,2199.64990234375,4185208,2071.9474853515626,1999.9149975585935,0.019701922408741135,0.016601393328970062
2020-07-06,2205.0,2269.89990234375,2205.0,2263.199951171875,5190366,2081.519982910156,2007.613996582031,0.02889098340622831,0.0174649825801715
2020-07-07,2275.0,2302.699951171875,2232.14990234375,2269.89990234375,5630055,2091.4124755859375,2016.6409936523435,0.0029603885279361197,0.01743874968309854
